"","time","temperature","humidity","windSpeed","windBearing","cloudCover","visibility","pressure","ozone","summary","lat","lon"
"1",2019-04-23 23:46:27,47.75,0.72,2.39,155,0.08,9.04,1017.64,340.27,"Clear",41.878377,-87.627678
"2",2019-04-23 23:46:28,47.83,0.72,2.36,154,0.07,9.06,1017.64,339.97,"Clear",41.858136,-87.616055
"3",2019-04-23 23:46:28,48.07,0.72,2.28,153,0.05,9.12,1017.64,339.26,"Clear",41.810342,-87.590228
"4",2019-04-23 23:46:28,48.33,0.7,2.34,153,0.08,8.97,1017.65,340.46,"Clear",41.891964,-87.611603
"5",2019-04-23 23:46:28,47.83,0.74,2.24,153,0.04,9.18,1017.64,338.83,"Clear",41.7806,-87.586456
"6",2019-04-23 23:46:28,50.19,0.7,2.32,169,0.03,9.49,1017.58,338.37,"Clear",41.751238,-87.71299
"7",2019-04-23 23:46:28,48.88,0.7,2.55,159,0.08,9.23,1017.61,339.91,"Clear",41.852179,-87.675825
"8",2019-04-23 23:46:28,48.15,0.74,2.14,163,0.04,9.34,1017.62,338.1,"Clear",41.736314,-87.624179
"9",2019-04-23 23:46:29,49.65,0.71,2.3,167,0.04,9.42,1017.59,338.64,"Clear",41.768319,-87.683396
"10",2019-04-23 23:46:29,48.62,0.71,2.21,155,0.08,9.24,1017.6,340,"Clear",41.857797,-87.685806
"11",2019-04-23 23:46:29,47.36,0.75,2.18,157,0.02,9.22,1017.59,337.83,"Clear",41.722457,-87.57535
"12",2019-04-23 23:46:29,48,0.74,2.2,158,0.03,9.33,1017.62,338.1,"Clear",41.736495,-87.614529
"13",2019-04-23 23:46:29,47.18,0.73,1.84,146,0.09,9,1017.62,341.63,"Clear",41.965089,-87.679076
"14",2019-04-23 23:46:29,46.82,0.73,1.78,142,0.1,8.86,1017.64,342.04,"Clear",41.994597,-87.655523
"15",2019-04-23 23:46:29,48.27,0.72,2.43,158,0.07,9.19,1017.62,339.6,"Clear",41.832579,-87.646133
"16",2019-04-23 23:46:30,48.14,0.72,2.2,153,0.08,9.15,1017.61,340.37,"Clear",41.882304,-87.671773
"17",2019-04-23 23:46:30,47.86,0.72,2.27,154,0.09,9.12,1017.61,340.84,"Clear",41.912681,-87.681052
"18",2019-04-23 23:46:30,47.99,0.74,2.2,158,0.04,9.32,1017.62,338.25,"Clear",41.743814,-87.614732
"19",2019-04-23 23:46:30,48.95,0.71,2.53,159,0.07,9.27,1017.6,339.6,"Clear",41.831827,-87.675311
"20",2019-04-23 23:46:30,47.88,0.71,1.87,148,0.09,9.07,1017.61,341.37,"Clear",41.94672,-87.69068
"21",2019-04-23 23:46:30,48.96,0.7,2.31,157,0.09,9.25,1017.59,340.33,"Clear",41.878372,-87.706042
"22",2019-04-23 23:46:30,48,0.72,2.48,155,0.08,9.09,1017.62,340.38,"Clear",41.88431,-87.647431
"23",2019-04-23 23:46:31,47.89,0.72,2.27,154,0.09,9.12,1017.61,340.86,"Clear",41.914202,-87.683048
"24",2019-04-23 23:46:31,49.03,0.7,2.38,159,0.09,9.3,1017.58,340.39,"Clear",41.880732,-87.72566
"25",2019-04-23 23:46:31,47.1,0.76,2.14,153,0.03,9.12,1017.6,338.22,"Clear",41.741148,-87.54045
"26",2019-04-23 23:46:31,48.48,0.71,2.25,155,0.08,9.19,1017.6,340.36,"Clear",41.881172,-87.686359
"27",2019-04-23 23:46:31,47.79,0.72,2.26,153,0.09,9.09,1017.61,340.97,"Clear",41.921405,-87.677766
"28",2019-04-23 23:46:31,49.2,0.7,2.57,160,0.08,9.26,1017.6,339.83,"Clear",41.846579,-87.685557
"29",2019-04-23 23:46:31,47.88,0.72,2.27,154,0.09,9.12,1017.61,340.85,"Clear",41.913583,-87.682414
"30",2019-04-23 23:46:32,48.86,0.71,2.54,159,0.07,9.23,1017.61,339.83,"Clear",41.846897,-87.673061
"31",2019-04-23 23:46:32,48.59,0.71,2.52,158,0.08,9.19,1017.61,339.99,"Clear",41.857775,-87.666144
"32",2019-04-23 23:46:32,47.66,0.73,2.21,153,0.08,9.1,1017.62,340.68,"Clear",41.903335,-87.6674
"33",2019-04-23 23:46:32,47.73,0.75,2.23,155,0.04,9.29,1017.62,338.4,"Clear",41.751295,-87.605288
"34",2019-04-23 23:46:32,49.22,0.71,2.29,166,0.06,9.35,1017.61,338.81,"Clear",41.779369,-87.664421
"35",2019-04-23 23:46:32,48.4,0.71,2.5,157,0.07,9.17,1017.62,339.99,"Clear",41.857959,-87.656427
"36",2019-04-23 23:46:33,49.09,0.7,2.56,158,0.1,9.3,1017.56,341.09,"Clear",41.923996,-87.761072
"37",2019-04-23 23:46:33,50.17,0.7,2.76,158,0.04,10,1017.45,337.52,"Clear",41.718008,-87.982901
"38",2019-04-23 23:46:33,47.81,0.73,2.33,154,0.06,9.09,1017.64,339.68,"Clear",41.838618,-87.607817
"39",2019-04-23 23:46:33,48.9,0.7,2.4,159,0.09,9.27,1017.58,340.61,"Clear",41.895355,-87.726064
"40",2019-04-23 23:46:33,48.32,0.71,2.53,158,0.08,9.17,1017.61,340.13,"Clear",41.866786,-87.666306
"41",2019-04-23 23:46:33,48.89,0.71,2.47,159,0.06,9.3,1017.6,339.25,"Clear",41.808594,-87.665048
"42",2019-04-23 23:46:33,47.28,0.73,2.16,150,0.08,9.04,1017.63,340.78,"Clear",41.910922,-87.649518
"43",2019-04-23 23:46:34,49.18,0.71,2.3,166,0.06,9.33,1017.61,338.92,"Clear",41.786756,-87.664343
"44",2019-04-23 23:46:34,48.01,0.73,2.28,154,0.05,9.18,1017.63,338.98,"Clear",41.791329,-87.598677
"45",2019-04-23 23:46:34,48.03,0.73,2.27,154,0.05,9.19,1017.63,338.94,"Clear",41.78843,-87.59913
"46",2019-04-23 23:46:34,50.19,0.7,2.32,169,0.03,9.49,1017.58,338.37,"Clear",41.751142,-87.71299
"47",2019-04-23 23:46:34,47.97,0.73,2.29,154,0.05,9.18,1017.63,339.02,"Clear",41.794167,-87.601646
"48",2019-04-23 23:46:34,50.19,0.7,2.32,169,0.03,9.49,1017.58,338.37,"Clear",41.751142,-87.71299
"49",2019-04-23 23:46:34,48.15,0.73,2.32,156,0.05,9.21,1017.63,339.03,"Clear",41.794477,-87.615957
"50",2019-04-23 23:46:35,47.72,0.72,2.23,153,0.09,9.1,1017.61,340.73,"Clear",41.906481,-87.671373
"51",2019-04-23 23:46:35,47,0.73,2.13,151,0.09,8.91,1017.65,341.43,"Clear",41.954825,-87.645248
"52",2019-04-23 23:46:35,47.77,0.73,2.35,155,0.06,9.13,1017.64,339.57,"Clear",41.83107,-87.617298
"53",2019-04-23 23:46:35,47.59,0.72,2.23,152,0.09,9.07,1017.62,340.92,"Clear",41.918733,-87.668257
"54",2019-04-23 23:46:35,46.89,0.73,2.07,150,0.09,8.94,1017.65,340.99,"Clear",41.92617,-87.631533
"55",2019-04-23 23:46:35,49.32,0.7,2.44,161,0.09,9.35,1017.57,340.4,"Clear",41.880497,-87.745268
"56",2019-04-23 23:46:35,48.35,0.71,2.2,154,0.08,9.19,1017.61,340.21,"Clear",41.87148,-87.67644
"57",2019-04-23 23:46:36,46.8,0.73,1.77,143,0.09,8.94,1017.63,341.66,"Clear",41.96904,-87.659672
"58",2019-04-23 23:46:36,48.21,0.72,2.41,158,0.07,9.2,1017.62,339.47,"Clear",41.823527,-87.641054
"59",2019-04-23 23:46:36,48.39,0.71,2.03,154,0.1,9.18,1017.59,341.41,"Clear",41.946373,-87.727382
"60",2019-04-23 23:46:36,49.01,0.72,2.2,166,0.03,9.4,1017.6,338.37,"Clear",41.75034,-87.663518
"61",2019-04-23 23:46:36,47.15,0.73,1.85,146,0.09,9,1017.62,341.69,"Clear",41.968757,-87.679174
"62",2019-04-23 23:46:36,47.82,0.74,2.18,157,0.03,9.31,1017.62,338.11,"Clear",41.736593,-87.604759
"63",2019-04-23 23:46:36,46.93,0.73,1.79,144,0.09,8.97,1017.62,341.62,"Clear",41.965256,-87.66672
"64",2019-04-23 23:46:37,47.56,0.73,2.19,152,0.08,9.1,1017.62,340.57,"Clear",41.896157,-87.662391
"65",2019-04-23 23:46:37,48.02,0.73,2.27,154,0.05,9.18,1017.63,338.94,"Clear",41.788608,-87.598713
"66",2019-04-23 23:46:37,48.01,0.71,2.3,154,0.09,9.11,1017.61,341.03,"Clear",41.924903,-87.687703
"67",2019-04-23 23:46:37,49.24,0.7,2.47,161,0.09,9.32,1017.57,340.63,"Clear",41.895005,-87.745817
"68",2019-04-23 23:46:37,48.02,0.74,2.12,166,0.02,9.32,1017.58,337.22,"Clear",41.692769,-87.609852
"69",2019-04-23 23:46:37,46.94,0.73,1.78,144,0.09,8.97,1017.62,341.56,"Clear",41.961622,-87.665948
"70",2019-04-23 23:46:37,48.51,0.7,2.46,158,0.1,9.18,1017.59,341.29,"Clear",41.939121,-87.723801
"71",2019-04-23 23:46:37,47.57,0.72,2.22,152,0.09,9.07,1017.62,340.88,"Clear",41.916586,-87.666406
"72",2019-04-23 23:46:38,47.25,0.73,2.15,150,0.08,9.05,1017.63,340.67,"Clear",41.903632,-87.648093
"73",2019-04-23 23:46:38,49.6,0.7,2.45,168,0.07,9.4,1017.59,339.14,"Clear",41.800846,-87.703739
"74",2019-04-23 23:46:38,46.46,0.77,1.98,159,0,9.27,1017.61,336.74,"Clear",41.666078,-87.539374
"75",2019-04-23 23:46:38,46.82,0.76,2.08,155,0.01,9.17,1017.61,337.68,"Clear",41.713867,-87.536509
"76",2019-04-23 23:46:38,50.24,0.7,2.38,170,0.04,9.49,1017.57,338.57,"Clear",41.764122,-87.72242
"77",2019-04-23 23:46:38,47,0.73,2.13,151,0.09,8.91,1017.64,341.43,"Clear",41.954825,-87.645248
"78",2019-04-23 23:46:38,47.73,0.72,2.39,155,0.08,9.03,1017.64,340.31,"Clear",41.88076,-87.62775
"79",2019-04-23 23:46:39,47.72,0.72,2.39,155,0.08,9.03,1017.64,340.37,"Clear",41.884688,-87.627864
"80",2019-04-23 23:46:39,48.73,0.71,2.51,158,0.07,9.23,1017.61,339.71,"Clear",41.839066,-87.665685
"81",2019-04-23 23:46:39,47.78,0.72,2.38,155,0.08,9.02,1017.64,340.36,"Clear",41.884607,-87.624577
"82",2019-04-23 23:46:39,48.56,0.73,2.2,168,0.01,9.39,1017.56,337.64,"Clear",41.714494,-87.643099
"83",2019-04-23 23:46:39,47.81,0.71,1.86,148,0.09,9.06,1017.61,341.37,"Clear",41.947066,-87.688326
"84",2019-04-23 23:46:39,48.98,0.69,2.17,157,0.12,9.21,1017.56,341.79,"Clear",41.96759,-87.76257
"85",2019-04-23 23:46:39,47.96,0.71,2.33,154,0.09,9.07,1017.61,341.31,"Clear",41.943263,-87.688069
"86",2019-04-23 23:46:40,48,0.72,2.19,153,0.08,9.14,1017.61,340.38,"Clear",41.883541,-87.666748
"87",2019-04-23 23:46:40,47.79,0.72,2.41,156,0.08,9.04,1017.64,340.35,"Clear",41.88326,-87.63387
"88",2019-04-23 23:46:40,47.83,0.72,2.42,156,0.08,9.05,1017.64,340.37,"Clear",41.88449,-87.636955
"89",2019-04-23 23:46:40,47.73,0.72,2.4,155,0.08,9.03,1017.64,340.38,"Clear",41.88575,-87.62969
"90",2019-04-23 23:46:40,46.88,0.73,2.07,150,0.09,8.94,1017.65,340.99,"Clear",41.92617,-87.631533
"91",2019-04-23 23:46:40,48.13,0.73,2.28,154,0.05,9.18,1017.63,339,"Clear",41.792543,-87.600008
